[2022-05-11 10:00:04,589] Register - Step 01: Navigate to 'Register' page
[2022-05-11 10:00:05,244] Register - Step 02: Enter to Firstname textbox with value is'Huynh'
[2022-05-11 10:00:05,340] Register - Step 03: Enter to Lastname textbox with value is'Quang'
[2022-05-11 10:00:05,436] Register - Step 04: Enter to Email Address textbox with value is'abcd4575@gmail.com'
[2022-05-11 10:00:05,532] Register - Step 05: Enter to password textbox with value is'123456'
[2022-05-11 10:00:05,629] Register - Step 06: Enter to Confirm Password textbox with value is'123456'
[2022-05-11 10:00:05,718] Register - Step 07: Click to Register button
[2022-05-11 10:00:06,613] Register - Step 08: Verify Register success message is displayed
[2022-05-11 10:00:06,654] Register - Step 09: Click to Logout link
[2022-05-11 10:00:07,391] Login - Step 01: Navigate to 'Login' page
[2022-05-11 10:00:07,999] Login - Step 02: Enter to Email Address textbox with value is'abcd4575@gmail.com'
[2022-05-11 10:00:08,092] Login - Step 03: Enter to password textbox with value is'123456'
[2022-05-11 10:00:08,177] Login - Step 04: Click to Login button
[2022-05-11 10:00:08,947] Login - Step 05: Verify My Account link is displayed
[2022-05-11 10:00:08,986] Login - Step 06: Navigate to 'My Account' page
[2022-05-11 10:00:09,584] Login - Step 05: Verify 'Customer Info' page is displayed
[2022-05-11 10:13:14,029] Register - Step 01: Navigate to 'Register' page
[2022-05-11 10:13:14,570] Register - Step 02: Enter to Firstname textbox with value is'Huynh'
[2022-05-11 10:13:14,666] Register - Step 03: Enter to Lastname textbox with value is'Quang'
[2022-05-11 10:13:14,761] Register - Step 04: Enter to Email Address textbox with value is'abcd9250@gmail.com'
[2022-05-11 10:13:14,858] Register - Step 05: Enter to password textbox with value is'123456'
[2022-05-11 10:13:14,951] Register - Step 06: Enter to Confirm Password textbox with value is'123456'
[2022-05-11 10:13:15,040] Register - Step 07: Click to Register button
[2022-05-11 10:13:15,922] Register - Step 08: Verify Register success message is displayed
[2022-05-11 10:13:15,964]  -------------------------- PASSED -------------------------- 
[2022-05-11 10:13:15,964] Register - Step 09: Click to Logout link
[2022-05-11 10:13:16,632] Login - Step 01: Navigate to 'Login' page
[2022-05-11 10:13:17,150] Login - Step 02: Enter to Email Address textbox with value is'abcd9250@gmail.com'
[2022-05-11 10:13:17,242] Login - Step 03: Enter to password textbox with value is'123456'
[2022-05-11 10:13:17,331] Login - Step 04: Click to Login button
[2022-05-11 10:13:18,024] Login - Step 05: Verify My Account link is displayed
[2022-05-11 10:13:18,062]  -------------------------- PASSED -------------------------- 
[2022-05-11 10:13:18,062] Login - Step 06: Navigate to 'My Account' page
[2022-05-11 10:13:18,606] Login - Step 05: Verify 'Customer Info' page is displayed
[2022-05-11 10:13:18,644]  -------------------------- PASSED -------------------------- 
[2022-05-11 10:25:22,026] Register - Step 01: Navigate to 'Register' page
[2022-05-11 10:25:22,584] Register - Step 02: Enter to Firstname textbox with value is'Huynh'
[2022-05-11 10:25:22,682] Register - Step 03: Enter to Lastname textbox with value is'Quang'
[2022-05-11 10:25:22,779] Register - Step 04: Enter to Email Address textbox with value is'abcd4883@gmail.com'
[2022-05-11 10:25:22,875] Register - Step 05: Enter to password textbox with value is'123456'
[2022-05-11 10:25:22,970] Register - Step 06: Enter to Confirm Password textbox with value is'123456'
[2022-05-11 10:25:23,061] Register - Step 07: Click to Register button
[2022-05-11 10:25:23,866] Register - Step 08: Verify Register success message is displayed
[2022-05-11 10:25:23,907]  -------------------------- PASSED -------------------------- 
[2022-05-11 10:25:23,907] Register - Step 09: Click to Logout link
[2022-05-11 10:25:24,562] Login - Step 01: Navigate to 'Login' page
[2022-05-11 10:25:25,058] Login - Step 02: Enter to Email Address textbox with value is'abcd4883@gmail.com'
[2022-05-11 10:25:25,145] Login - Step 03: Enter to password textbox with value is'123456'
[2022-05-11 10:25:25,230] Login - Step 04: Click to Login button
[2022-05-11 10:25:25,926] Login - Step 05: Verify My Account link is displayed
[2022-05-11 10:25:25,964]  -------------------------- PASSED -------------------------- 
[2022-05-11 10:25:25,964] Login - Step 06: Navigate to 'My Account' page
[2022-05-11 10:25:26,480] Login - Step 05: Verify 'Customer Info' page is displayed
[2022-05-11 10:25:26,521]  -------------------------- PASSED -------------------------- 
[2022-05-11 10:25:51,142] Register - Step 01: Navigate to 'Register' page
[2022-05-11 10:25:51,993] Register - Step 02: Enter to Firstname textbox with value is'Huynh'
[2022-05-11 10:25:52,083] Register - Step 03: Enter to Lastname textbox with value is'Quang'
[2022-05-11 10:25:52,171] Register - Step 04: Enter to Email Address textbox with value is'abcd9918@gmail.com'
[2022-05-11 10:25:52,265] Register - Step 05: Enter to password textbox with value is'123456'
[2022-05-11 10:25:52,352] Register - Step 06: Enter to Confirm Password textbox with value is'123456'
[2022-05-11 10:25:52,441] Register - Step 07: Click to Register button
[2022-05-11 10:25:53,354] Register - Step 08: Verify Register success message is displayed
[2022-05-11 10:25:53,390]  -------------------------- PASSED -------------------------- 
[2022-05-11 10:25:53,390] Register - Step 09: Click to Logout link
[2022-05-11 10:25:54,146] Login - Step 01: Navigate to 'Login' page
[2022-05-11 10:25:54,716] Login - Step 02: Enter to Email Address textbox with value is'abcd9918@gmail.com'
[2022-05-11 10:25:54,805] Login - Step 03: Enter to password textbox with value is'123456'
[2022-05-11 10:25:54,890] Login - Step 04: Click to Login button
[2022-05-11 10:25:55,656] Login - Step 05: Verify My Account link is displayed
[2022-05-11 10:25:55,693]  -------------------------- PASSED -------------------------- 
[2022-05-11 10:25:55,693] Login - Step 06: Navigate to 'My Account' page
[2022-05-11 10:25:56,262] Login - Step 05: Verify 'Customer Info' page is displayed
[2022-05-11 10:25:56,300]  -------------------------- PASSED -------------------------- 
[2022-05-11 10:29:08,408] Register - Step 01: Navigate to 'Register' page
[2022-05-11 10:29:08,950] Register - Step 02: Enter to Firstname textbox with value is'Huynh'
[2022-05-11 10:29:09,052] Register - Step 03: Enter to Lastname textbox with value is'Quang'
[2022-05-11 10:29:09,147] Register - Step 04: Enter to Email Address textbox with value is'abcd1498@gmail.com'
[2022-05-11 10:29:09,242] Register - Step 05: Enter to password textbox with value is'123456'
[2022-05-11 10:29:09,336] Register - Step 06: Enter to Confirm Password textbox with value is'123456'
[2022-05-11 10:29:09,427] Register - Step 07: Click to Register button
[2022-05-11 10:29:10,302] Register - Step 08: Verify Register success message is displayed
[2022-05-11 10:29:10,343]  -------------------------- PASSED -------------------------- 
[2022-05-11 10:29:10,343] Register - Step 09: Click to Logout link
[2022-05-11 10:29:11,035] Login - Step 01: Navigate to 'Login' page
[2022-05-11 10:29:11,549] Login - Step 02: Enter to Email Address textbox with value is'abcd1498@gmail.com'
[2022-05-11 10:29:11,637] Login - Step 03: Enter to password textbox with value is'123456'
[2022-05-11 10:29:11,722] Login - Step 04: Click to Login button
[2022-05-11 10:29:12,419] Login - Step 05: Verify My Account link is displayed
[2022-05-11 10:29:12,457]  -------------------------- FAILED -------------------------- 
[2022-05-11 10:29:12,457] Login - Step 06: Navigate to 'My Account' page
[2022-05-11 10:29:12,965] Login - Step 05: Verify 'Customer Info' page is displayed
[2022-05-11 10:29:13,005]  -------------------------- FAILED -------------------------- 
[2022-05-11 10:29:17,857] Register - Step 01: Navigate to 'Register' page
[2022-05-11 10:29:18,431] Register - Step 02: Enter to Firstname textbox with value is'Huynh'
[2022-05-11 10:29:18,523] Register - Step 03: Enter to Lastname textbox with value is'Quang'
